datetime_created;src_address;src_netmask;dst_address;dst_netmask;ports;action
2021-03-21 11:32:03.137830+00:00;172.16.1.207;255.255.252.0;192.168.100.113;255.255.255.0;80;forbid
2021-07-03 22:48:03.138753+00:00;172.16.2.123;255.255.252.0;192.168.100.36;255.255.255.0;443,80;permit
2021-06-22 04:03:03.139749+00:00;172.16.3.206;255.255.252.0;10.0.0.41;255.255.254.0;22,3389,80,21;forbid
2021-03-08 19:28:03.141018+00:00;10.0.1.12;255.255.254.0;172.16.1.73;255.255.252.0;22;forbid
2022-10-27 15:37:03.141018+00:00;192.168.100.18;255.255.255.0;172.16.1.182;255.255.252.0;3389;permit
2022-10-25 14:21:03.142098+00:00;192.168.100.82;255.255.255.0;10.0.1.146;255.255.254.0;22;forbid
2022-10-29 02:50:03.142098+00:00;10.0.0.53;255.255.254.0;192.168.100.9;255.255.255.0;80;permit
2020-11-19 15:08:03.143113+00:00;172.16.0.50;255.255.252.0;192.168.100.50;255.255.255.0;80;forbid
2022-10-27 10:15:03.144098+00:00;192.168.100.109;255.255.255.0;10.0.1.214;255.255.254.0;443,21;permit
2021-03-28 10:00:03.145099+00:00;10.0.0.69;255.255.254.0;172.16.3.252;255.255.252.0;443,80,22,3389;permit
2021-11-20 12:47:03.145099+00:00;192.168.100.175;255.255.255.0;10.0.1.32;255.255.254.0;3389,80,443,22;permit
2022-10-27 12:24:03.146365+00:00;10.0.1.181;255.255.254.0;172.16.3.166;255.255.252.0;21,3389;forbid
2022-10-03 22:45:03.147442+00:00;10.0.0.178;255.255.254.0;172.16.3.11;255.255.252.0;22;forbid
2020-12-18 12:06:03.148448+00:00;172.16.2.240;255.255.252.0;10.0.1.4;255.255.254.0;443,3389;permit
2022-10-30 05:44:03.149476+00:00;10.0.0.205;255.255.254.0;192.168.100.106;255.255.255.0;3389,80;forbid
2022-10-29 05:19:03.150459+00:00;10.0.0.236;255.255.254.0;172.16.1.81;255.255.252.0;80,3389,22,21;permit
2020-11-09 13:26:03.150459+00:00;10.0.0.57;255.255.254.0;192.168.100.165;255.255.255.0;80,3389,21,22;permit
2020-12-13 12:20:03.151740+00:00;192.168.100.176;255.255.255.0;10.0.1.242;255.255.254.0;22,21;forbid
2021-09-15 17:15:03.151740+00:00;172.16.2.142;255.255.252.0;192.168.100.83;255.255.255.0;80,21,3389,22;permit
2022-10-25 21:14:03.152818+00:00;192.168.100.101;255.255.255.0;10.0.1.193;255.255.254.0;21;permit
2022-10-24 23:05:03.153747+00:00;172.16.0.241;255.255.252.0;192.168.100.119;255.255.255.0;21,3389,80;permit
2020-10-30 07:27:03.154816+00:00;192.168.100.127;255.255.255.0;172.16.1.245;255.255.252.0;80,22,21,3389;forbid
2022-05-17 13:16:03.155827+00:00;10.0.1.65;255.255.254.0;172.16.2.163;255.255.252.0;443,22,3389;forbid
2021-04-12 22:24:03.156841+00:00;192.168.100.196;255.255.255.0;172.16.0.199;255.255.252.0;22,21,80;permit
2022-06-06 11:59:03.157120+00:00;10.0.0.186;255.255.254.0;192.168.100.235;255.255.255.0;80,22,443,21;forbid
2020-12-31 20:50:03.158196+00:00;172.16.2.41;255.255.252.0;10.0.1.26;255.255.254.0;22;forbid
2021-08-18 10:07:03.158196+00:00;192.168.100.15;255.255.255.0;10.0.1.220;255.255.254.0;443,22,80,3389;forbid
2022-04-01 09:11:03.159196+00:00;172.16.1.96;255.255.252.0;192.168.100.187;255.255.255.0;443,22;forbid
2022-10-19 05:22:03.160197+00:00;192.168.100.195;255.255.255.0;172.16.3.201;255.255.252.0;3389,21,80;forbid
2022-04-06 22:51:03.161197+00:00;10.0.1.140;255.255.254.0;172.16.0.80;255.255.252.0;21,22;permit
2021-09-20 01:46:03.162475+00:00;172.16.1.35;255.255.252.0;10.0.1.3;255.255.254.0;21,443,22;forbid
2021-11-15 08:59:03.162475+00:00;192.168.100.227;255.255.255.0;10.0.0.74;255.255.254.0;80,21,3389,22;permit
2021-05-04 01:13:03.163567+00:00;172.16.1.27;255.255.252.0;10.0.0.100;255.255.254.0;22,3389,443;permit
2022-10-27 15:35:03.164553+00:00;192.168.100.28;255.255.255.0;172.16.2.64;255.255.252.0;22,21;permit
2022-10-31 09:35:03.165564+00:00;172.16.1.141;255.255.252.0;10.0.1.59;255.255.254.0;80,21,443,3389;forbid
2020-12-05 21:09:03.166554+00:00;172.16.3.146;255.255.252.0;192.168.100.104;255.255.255.0;80,443,3389;forbid
2022-10-28 10:39:03.167862+00:00;192.168.100.252;255.255.255.0;172.16.1.23;255.255.252.0;22,21,3389;permit
2022-10-30 07:18:03.167862+00:00;10.0.1.241;255.255.254.0;172.16.2.82;255.255.252.0;443;permit
2022-10-31 06:25:03.169874+00:00;10.0.0.6;255.255.254.0;172.16.3.174;255.255.252.0;80,22,3389;forbid
2021-03-28 02:48:03.169874+00:00;192.168.100.42;255.255.255.0;172.16.2.49;255.255.252.0;21,22,443;permit
2021-08-25 13:55:03.170871+00:00;172.16.0.161;255.255.252.0;192.168.100.59;255.255.255.0;80,3389,443,21;forbid
2022-10-27 06:34:03.171942+00:00;192.168.100.118;255.255.255.0;172.16.1.231;255.255.252.0;80;permit
2022-10-26 23:22:03.172941+00:00;172.16.2.184;255.255.252.0;192.168.100.210;255.255.255.0;80,22,443;forbid
2021-08-21 20:13:03.173945+00:00;172.16.0.39;255.255.252.0;192.168.100.142;255.255.255.0;80,21;permit
2022-10-27 06:48:03.174941+00:00;172.16.3.131;255.255.252.0;192.168.100.61;255.255.255.0;3389,21,80,22;forbid
2021-10-12 07:53:03.175944+00:00;172.16.3.242;255.255.252.0;192.168.100.72;255.255.255.0;443;forbid
2022-01-08 05:02:03.176964+00:00;172.16.2.156;255.255.252.0;10.0.1.108;255.255.254.0;80,22;forbid
2022-10-29 14:48:03.176964+00:00;172.16.0.10;255.255.252.0;192.168.100.46;255.255.255.0;3389,80,21,22;forbid
2020-11-26 03:46:03.178277+00:00;192.168.100.137;255.255.255.0;10.0.0.15;255.255.254.0;22,80,3389;forbid
2021-12-14 02:27:03.178277+00:00;192.168.100.107;255.255.255.0;10.0.1.72;255.255.254.0;80;permit
2022-07-05 19:24:03.178277+00:00;10.0.1.134;255.255.254.0;192.168.100.147;255.255.255.0;3389;permit
2020-11-24 12:25:03.179361+00:00;172.16.0.170;255.255.252.0;192.168.100.132;255.255.255.0;21,80;permit
2022-10-26 14:23:03.180355+00:00;192.168.100.162;255.255.255.0;172.16.2.12;255.255.252.0;443,22,3389;permit
2022-10-26 06:33:03.181368+00:00;192.168.100.71;255.255.255.0;172.16.0.142;255.255.252.0;80,22,443;permit
2022-01-12 03:59:03.182356+00:00;10.0.0.164;255.255.254.0;172.16.0.131;255.255.252.0;22,443,80;permit
2022-10-29 14:46:03.183678+00:00;10.0.0.142;255.255.254.0;172.16.0.75;255.255.252.0;22;permit
2022-10-26 19:19:03.184756+00:00;10.0.0.157;255.255.254.0;172.16.0.183;255.255.252.0;443,80,3389,21;permit
2022-02-08 10:13:03.185758+00:00;172.16.1.196;255.255.252.0;192.168.100.236;255.255.255.0;22;forbid
2022-10-25 20:00:03.185758+00:00;192.168.100.143;255.255.255.0;10.0.1.35;255.255.254.0;22,80;permit
2022-10-14 13:16:03.186726+00:00;172.16.2.97;255.255.252.0;192.168.100.76;255.255.255.0;443,21,3389,80;permit
2022-07-19 19:47:03.187764+00:00;192.168.100.157;255.255.255.0;172.16.3.66;255.255.252.0;443;permit
2022-10-31 18:06:03.187764+00:00;172.16.0.67;255.255.252.0;192.168.100.169;255.255.255.0;80,3389;forbid
2022-02-07 02:18:03.189087+00:00;172.16.2.245;255.255.252.0;192.168.100.144;255.255.255.0;22,3389,443,21;permit
2022-10-31 10:51:03.190165+00:00;10.0.0.20;255.255.254.0;172.16.1.14;255.255.252.0;3389,80,443;permit
2021-11-04 13:33:03.191165+00:00;192.168.100.206;255.255.255.0;172.16.1.110;255.255.252.0;443,22,3389;forbid
2022-03-21 07:26:03.191165+00:00;192.168.100.35;255.255.255.0;10.0.0.158;255.255.254.0;22,80,3389;forbid
2021-07-31 00:48:03.192172+00:00;172.16.3.30;255.255.252.0;10.0.0.66;255.255.254.0;21,3389,80,443;permit
2022-10-26 17:03:03.193168+00:00;10.0.1.173;255.255.254.0;172.16.3.58;255.255.252.0;80,443,21,22;permit
2022-09-22 15:51:03.194410+00:00;192.168.100.135;255.255.255.0;10.0.1.66;255.255.254.0;21,22,443,80;forbid
2021-12-13 12:55:03.194483+00:00;10.0.1.209;255.255.254.0;172.16.2.58;255.255.252.0;443,22,21;permit
2022-10-28 10:18:03.195561+00:00;10.0.1.102;255.255.254.0;192.168.100.219;255.255.255.0;3389,21,443,22;forbid
2021-06-27 09:54:03.195561+00:00;192.168.100.24;255.255.255.0;10.0.1.10;255.255.254.0;22,80,21,3389;permit
2022-10-29 10:21:03.196578+00:00;10.0.1.152;255.255.254.0;172.16.0.208;255.255.252.0;3389,22;permit
2021-11-02 14:37:03.197567+00:00;10.0.0.206;255.255.254.0;192.168.100.205;255.255.255.0;443,22,3389,21;permit
2022-03-15 20:03:03.198569+00:00;172.16.1.89;255.255.252.0;10.0.1.21;255.255.254.0;80,21;forbid
2022-07-03 14:14:03.198569+00:00;192.168.100.207;255.255.255.0;10.0.0.37;255.255.254.0;3389,80,21;permit
2022-10-26 21:09:03.199804+00:00;10.0.0.111;255.255.254.0;192.168.100.4;255.255.255.0;22,21,3389,80;permit
2022-10-26 18:36:03.199875+00:00;10.0.0.155;255.255.254.0;192.168.100.130;255.255.255.0;22,3389;permit
2022-02-10 07:36:03.200954+00:00;192.168.100.200;255.255.255.0;172.16.1.94;255.255.252.0;22,21;forbid
2022-10-03 19:50:03.200954+00:00;192.168.100.20;255.255.255.0;172.16.3.89;255.255.252.0;3389,21,22,80;forbid
2022-10-28 14:13:03.201954+00:00;172.16.3.170;255.255.252.0;10.0.1.202;255.255.254.0;3389,443,21,22;permit
2021-11-26 10:38:03.202959+00:00;10.0.0.17;255.255.254.0;172.16.1.167;255.255.252.0;443,3389,80;permit
2022-10-24 19:34:03.203956+00:00;10.0.1.58;255.255.254.0;172.16.3.211;255.255.252.0;443,3389,22,21;permit
2022-04-16 01:01:03.205276+00:00;192.168.100.27;255.255.255.0;10.0.1.105;255.255.254.0;3389,21,443;forbid
2021-07-22 12:24:03.205276+00:00;172.16.2.206;255.255.252.0;10.0.0.240;255.255.254.0;443;permit
2022-01-25 17:22:03.206374+00:00;10.0.0.49;255.255.254.0;172.16.1.9;255.255.252.0;443,80,21,22;permit
2022-09-23 15:09:03.207356+00:00;10.0.1.79;255.255.254.0;192.168.100.121;255.255.255.0;443,3389,80;forbid
2021-07-28 09:06:03.208356+00:00;192.168.100.21;255.255.255.0;172.16.0.188;255.255.252.0;22;permit
2021-06-14 00:33:03.208356+00:00;10.0.0.229;255.255.254.0;192.168.100.197;255.255.255.0;443,80,22;permit
2020-12-14 01:18:03.209366+00:00;192.168.100.174;255.255.255.0;10.0.1.15;255.255.254.0;3389,80;forbid
2020-11-09 16:22:03.209366+00:00;192.168.100.164;255.255.255.0;10.0.0.254;255.255.254.0;443,80,21,22;forbid
2021-06-15 23:16:03.210682+00:00;192.168.100.124;255.255.255.0;172.16.0.56;255.255.252.0;3389,443;permit
2021-03-18 01:56:03.211763+00:00;10.0.1.160;255.255.254.0;172.16.2.114;255.255.252.0;21,22;forbid
2022-10-30 18:18:03.211763+00:00;172.16.2.231;255.255.252.0;10.0.0.93;255.255.254.0;21,443,3389,22;permit
2021-01-06 03:37:03.212762+00:00;192.168.100.32;255.255.255.0;172.16.0.68;255.255.252.0;22,443,3389;forbid
