datetime_created;src_address;src_netmask;dst_address;dst_netmask;ports;action
2022-09-12 04:13:34.726991+00:00;192.168.100.171;255.255.255.0;172.16.0.101;255.255.252.0;443;forbid
2021-12-05 03:40:34.729070+00:00;172.16.1.248;255.255.252.0;192.168.100.125;255.255.255.0;22,3389,80,443;forbid
2021-05-01 17:02:34.730189+00:00;10.0.0.193;255.255.254.0;192.168.100.99;255.255.255.0;443;forbid
2020-12-02 08:41:34.731247+00:00;10.0.0.227;255.255.254.0;172.16.1.243;255.255.252.0;3389,21;permit
2022-04-27 06:44:34.732189+00:00;192.168.100.101;255.255.255.0;10.0.1.11;255.255.254.0;21,80,22;forbid
2021-06-02 09:30:34.733190+00:00;192.168.100.209;255.255.255.0;172.16.0.76;255.255.252.0;443;forbid
2022-10-27 09:17:34.735307+00:00;10.0.1.14;255.255.254.0;172.16.3.9;255.255.252.0;3389;forbid
2021-06-02 13:22:34.736312+00:00;10.0.1.214;255.255.254.0;192.168.100.162;255.255.255.0;22;forbid
2022-10-24 21:52:34.737309+00:00;10.0.1.101;255.255.254.0;192.168.100.128;255.255.255.0;3389,443,21;forbid
2021-12-20 18:49:34.738647+00:00;192.168.100.176;255.255.255.0;172.16.1.156;255.255.252.0;3389;forbid
2022-06-09 20:03:34.739684+00:00;10.0.1.160;255.255.254.0;192.168.100.38;255.255.255.0;443,80,22,3389;permit
2022-04-30 12:47:34.741777+00:00;172.16.3.101;255.255.252.0;10.0.0.234;255.255.254.0;22,3389;forbid
2022-10-27 09:48:34.742793+00:00;192.168.100.232;255.255.255.0;172.16.2.150;255.255.252.0;3389,80,21,443;permit
2022-10-10 02:29:34.744777+00:00;172.16.3.215;255.255.252.0;10.0.0.164;255.255.254.0;80,21;forbid
2022-10-21 15:58:34.745919+00:00;10.0.1.212;255.255.254.0;172.16.1.9;255.255.252.0;80;forbid
2022-10-26 10:39:34.747801+00:00;172.16.3.75;255.255.252.0;192.168.100.239;255.255.255.0;21,443,3389;permit
2021-03-19 17:23:34.748800+00:00;192.168.100.105;255.255.255.0;172.16.0.44;255.255.252.0;443;permit
2022-10-28 14:47:34.750801+00:00;172.16.3.6;255.255.252.0;192.168.100.62;255.255.255.0;22,3389,21;forbid
2022-10-27 21:30:34.752013+00:00;172.16.0.172;255.255.252.0;192.168.100.254;255.255.255.0;22,443,80;forbid
2021-10-14 17:37:34.754074+00:00;10.0.0.241;255.255.254.0;172.16.0.67;255.255.252.0;21;forbid
2021-08-22 05:38:34.755665+00:00;172.16.3.180;255.255.252.0;10.0.1.238;255.255.254.0;80,21,22,3389;permit
2022-10-26 20:04:34.757778+00:00;172.16.3.22;255.255.252.0;10.0.1.176;255.255.254.0;21,22,80;permit
2022-10-29 23:50:34.759377+00:00;172.16.2.162;255.255.252.0;10.0.0.205;255.255.254.0;3389;forbid
2022-10-28 15:19:34.760427+00:00;10.0.0.43;255.255.254.0;192.168.100.180;255.255.255.0;21,22,443;forbid
2022-10-31 03:06:34.761425+00:00;172.16.0.154;255.255.252.0;192.168.100.80;255.255.255.0;21,3389;forbid
2022-07-06 12:31:34.763489+00:00;10.0.0.214;255.255.254.0;172.16.3.73;255.255.252.0;21;forbid
2021-06-06 14:22:34.763525+00:00;192.168.100.148;255.255.255.0;10.0.0.41;255.255.254.0;443,3389,80,21;permit
2021-05-03 17:19:34.765539+00:00;192.168.100.114;255.255.255.0;172.16.0.247;255.255.252.0;443,80,3389;forbid
2021-08-01 12:37:34.765539+00:00;192.168.100.91;255.255.255.0;10.0.1.106;255.255.254.0;3389;permit
2022-04-18 04:55:34.767529+00:00;172.16.2.88;255.255.252.0;192.168.100.157;255.255.255.0;443,3389,22;forbid
2021-08-08 21:30:34.768649+00:00;192.168.100.132;255.255.255.0;10.0.1.229;255.255.254.0;22,80,21;forbid
2020-11-18 10:39:34.769071+00:00;172.16.0.159;255.255.252.0;192.168.100.55;255.255.255.0;3389,80;permit
2021-12-28 20:49:34.771403+00:00;172.16.3.124;255.255.252.0;10.0.0.100;255.255.254.0;22,3389,80,21;permit
2022-01-06 21:59:34.772871+00:00;172.16.2.111;255.255.252.0;10.0.0.147;255.255.254.0;80,21;forbid
2020-11-10 09:00:34.773987+00:00;192.168.100.251;255.255.255.0;10.0.1.205;255.255.254.0;22,80;permit
2022-04-26 04:01:34.774992+00:00;192.168.100.163;255.255.255.0;10.0.0.105;255.255.254.0;21,22,443,80;forbid
2022-04-17 11:33:34.775991+00:00;10.0.0.245;255.255.254.0;172.16.3.250;255.255.252.0;3389,443,22,21;permit
2022-10-29 05:27:34.777986+00:00;172.16.0.224;255.255.252.0;192.168.100.172;255.255.255.0;80,443,3389,21;permit
2021-07-26 10:00:34.777986+00:00;192.168.100.218;255.255.255.0;10.0.1.30;255.255.254.0;21;permit
2022-08-05 13:33:34.779112+00:00;10.0.1.81;255.255.254.0;192.168.100.165;255.255.255.0;21,443;permit
2022-10-29 01:39:34.780298+00:00;172.16.0.109;255.255.252.0;10.0.1.222;255.255.254.0;80,3389,22,443;forbid
2022-09-18 18:30:34.782435+00:00;172.16.3.245;255.255.252.0;192.168.100.69;255.255.255.0;80,3389;permit
2022-03-05 17:29:34.783431+00:00;10.0.0.173;255.255.254.0;192.168.100.153;255.255.255.0;21;permit
2022-01-02 18:32:34.784538+00:00;172.16.2.146;255.255.252.0;10.0.1.242;255.255.254.0;80,443,3389;permit
2022-10-26 09:26:34.785541+00:00;172.16.1.65;255.255.252.0;192.168.100.45;255.255.255.0;443,3389,22;forbid
2022-10-25 16:18:34.786542+00:00;192.168.100.42;255.255.255.0;10.0.1.18;255.255.254.0;80,21;forbid
2020-12-06 21:17:34.788543+00:00;172.16.3.251;255.255.252.0;10.0.1.1;255.255.254.0;21;forbid
2021-09-28 02:32:34.789653+00:00;192.168.100.241;255.255.255.0;10.0.0.94;255.255.254.0;3389,22,443,80;forbid
2022-10-31 03:29:34.790201+00:00;10.0.0.58;255.255.254.0;192.168.100.236;255.255.255.0;443;permit
2022-10-08 19:58:34.791470+00:00;172.16.3.163;255.255.252.0;10.0.1.132;255.255.254.0;21,22;forbid
2022-03-03 15:15:34.792487+00:00;192.168.100.109;255.255.255.0;10.0.0.223;255.255.254.0;21,443;permit
2021-10-04 19:27:34.793486+00:00;192.168.100.160;255.255.255.0;172.16.2.2;255.255.252.0;80,21;permit
2022-10-31 04:21:34.794486+00:00;10.0.0.143;255.255.254.0;192.168.100.220;255.255.255.0;22,80;forbid
2021-03-04 09:30:34.795612+00:00;10.0.1.188;255.255.254.0;172.16.2.234;255.255.252.0;3389,80,443,21;permit
2021-11-29 13:08:34.796613+00:00;192.168.100.225;255.255.255.0;10.0.1.89;255.255.254.0;22,443,21,3389;forbid
2022-10-30 14:29:34.798614+00:00;10.0.1.20;255.255.254.0;172.16.2.60;255.255.252.0;22;forbid
2021-05-21 08:13:34.799611+00:00;10.0.0.4;255.255.254.0;172.16.1.129;255.255.252.0;443,3389,21,80;forbid
2021-05-29 21:25:34.800779+00:00;172.16.1.147;255.255.252.0;192.168.100.227;255.255.255.0;21,80;forbid
2020-12-26 23:45:34.801781+00:00;192.168.100.234;255.255.255.0;10.0.1.179;255.255.254.0;80,21,443;forbid
2021-06-16 11:44:34.803953+00:00;172.16.2.242;255.255.252.0;10.0.1.215;255.255.254.0;80,3389;permit
2022-08-29 00:28:34.804456+00:00;192.168.100.204;255.255.255.0;10.0.1.123;255.255.254.0;22;forbid
2022-07-28 18:24:34.805668+00:00;10.0.1.171;255.255.254.0;192.168.100.126;255.255.255.0;22,3389,443;permit
2021-01-12 23:14:34.806753+00:00;192.168.100.138;255.255.255.0;172.16.0.139;255.255.252.0;21,3389,443;forbid
2022-10-25 09:58:34.807756+00:00;10.0.1.154;255.255.254.0;172.16.1.158;255.255.252.0;21,3389,22,443;permit
2022-10-31 10:23:34.809756+00:00;172.16.1.154;255.255.252.0;192.168.100.87;255.255.255.0;443;permit
2021-08-31 00:35:34.809756+00:00;192.168.100.118;255.255.255.0;10.0.0.42;255.255.254.0;22,80;forbid
2022-10-27 05:20:34.811820+00:00;172.16.2.233;255.255.252.0;192.168.100.9;255.255.255.0;80,443,21;forbid
2020-12-22 12:38:34.812866+00:00;172.16.0.116;255.255.252.0;192.168.100.48;255.255.255.0;21;forbid
2022-10-27 22:34:34.814231+00:00;172.16.0.40;255.255.252.0;10.0.0.48;255.255.254.0;22;permit
2022-10-29 23:22:34.815264+00:00;10.0.1.74;255.255.254.0;192.168.100.49;255.255.255.0;21;permit
2022-08-14 04:36:34.816268+00:00;192.168.100.193;255.255.255.0;172.16.1.96;255.255.252.0;22,443;forbid
2022-10-30 00:55:34.818126+00:00;172.16.0.208;255.255.252.0;10.0.0.239;255.255.254.0;3389,80,21,22;forbid
2022-10-30 17:35:34.819125+00:00;172.16.2.47;255.255.252.0;192.168.100.178;255.255.255.0;22,80,443;permit
2021-04-15 04:36:34.820129+00:00;192.168.100.170;255.255.255.0;10.0.0.81;255.255.254.0;443,80;permit
2022-10-15 16:46:34.821123+00:00;10.0.1.92;255.255.254.0;192.168.100.27;255.255.255.0;21,443,3389;permit
2022-10-31 08:41:34.822276+00:00;172.16.1.69;255.255.252.0;10.0.1.50;255.255.254.0;443;forbid
2021-01-06 01:13:34.823342+00:00;10.0.1.138;255.255.254.0;192.168.100.108;255.255.255.0;21;forbid
2022-10-27 23:23:34.824371+00:00;172.16.3.182;255.255.252.0;10.0.1.234;255.255.254.0;80,21;forbid
2021-07-05 23:21:34.825371+00:00;10.0.0.78;255.255.254.0;172.16.2.174;255.255.252.0;443;forbid
2021-02-07 15:32:34.827517+00:00;172.16.0.37;255.255.252.0;192.168.100.58;255.255.255.0;3389,443;permit
2022-10-28 12:10:34.828571+00:00;192.168.100.215;255.255.255.0;172.16.1.76;255.255.252.0;22;forbid
2022-08-24 12:43:34.829570+00:00;10.0.0.149;255.255.254.0;172.16.0.34;255.255.252.0;3389,22,443;permit
2021-03-15 06:59:34.830569+00:00;192.168.100.185;255.255.255.0;172.16.1.66;255.255.252.0;22,443,3389,80;permit
2022-10-08 09:45:34.832679+00:00;172.16.3.233;255.255.252.0;192.168.100.71;255.255.255.0;21,80,3389,443;forbid
2021-05-31 15:29:34.832679+00:00;10.0.1.191;255.255.254.0;192.168.100.60;255.255.255.0;3389;forbid
2022-10-29 06:13:34.833681+00:00;192.168.100.124;255.255.255.0;172.16.2.202;255.255.252.0;22,3389,443;forbid
2021-03-11 13:12:34.835685+00:00;172.16.1.226;255.255.252.0;192.168.100.120;255.255.255.0;21;permit
2022-02-17 05:45:34.835685+00:00;10.0.0.233;255.255.254.0;192.168.100.214;255.255.255.0;21;forbid
2022-10-26 14:21:34.836684+00:00;10.0.0.23;255.255.254.0;192.168.100.191;255.255.255.0;21,80,3389,22;forbid
2022-10-26 06:52:34.837804+00:00;192.168.100.230;255.255.255.0;172.16.1.75;255.255.252.0;21,22,443,3389;permit
2022-02-11 01:31:34.839841+00:00;172.16.1.10;255.255.252.0;10.0.0.217;255.255.254.0;22,21,80;forbid
2021-09-08 01:03:34.839841+00:00;10.0.0.203;255.255.254.0;192.168.100.222;255.255.255.0;80,22;permit
2022-10-27 10:31:34.841845+00:00;192.168.100.221;255.255.255.0;172.16.0.182;255.255.252.0;22;permit
2022-09-17 05:32:34.842999+00:00;172.16.1.193;255.255.252.0;192.168.100.247;255.255.255.0;3389;forbid
2021-10-04 08:07:34.844027+00:00;10.0.0.235;255.255.254.0;172.16.0.6;255.255.252.0;443,3389,22;permit
2021-08-15 19:16:34.846028+00:00;172.16.0.95;255.255.252.0;10.0.1.197;255.255.254.0;22,80;forbid
2022-04-28 11:04:34.847030+00:00;10.0.0.114;255.255.254.0;172.16.1.196;255.255.252.0;21,80;permit
2022-09-09 09:32:34.848131+00:00;10.0.1.2;255.255.254.0;172.16.1.217;255.255.252.0;3389,80,22,443;permit
2021-03-20 11:57:34.849135+00:00;192.168.100.150;255.255.255.0;10.0.1.3;255.255.254.0;22,3389,443;forbid
2021-07-12 01:52:34.851133+00:00;172.16.2.110;255.255.252.0;10.0.0.127;255.255.254.0;443,80,21;permit
2020-11-02 00:23:34.851133+00:00;10.0.1.195;255.255.254.0;192.168.100.70;255.255.255.0;80;forbid
2022-06-05 09:46:34.853294+00:00;10.0.0.113;255.255.254.0;172.16.0.24;255.255.252.0;80,22,443,21;permit
2022-02-06 10:10:34.854298+00:00;172.16.3.18;255.255.252.0;10.0.1.162;255.255.254.0;3389,21,443;permit
2022-10-26 13:47:34.856296+00:00;10.0.0.97;255.255.254.0;172.16.3.228;255.255.252.0;22,3389;permit
2022-10-30 07:32:34.857298+00:00;192.168.100.98;255.255.255.0;172.16.1.245;255.255.252.0;22,80;forbid
2022-10-29 22:56:34.858435+00:00;10.0.1.67;255.255.254.0;172.16.2.198;255.255.252.0;3389,21,80;permit
2022-10-25 00:05:34.859817+00:00;192.168.100.77;255.255.255.0;172.16.2.238;255.255.252.0;22;forbid
2022-07-30 23:38:34.860871+00:00;10.0.1.183;255.255.254.0;192.168.100.244;255.255.255.0;443,21,80;forbid
2022-04-12 15:57:34.861870+00:00;192.168.100.22;255.255.255.0;172.16.2.66;255.255.252.0;80;permit
2022-07-10 18:04:34.862869+00:00;172.16.3.203;255.255.252.0;192.168.100.93;255.255.255.0;21;forbid
2021-01-22 20:11:34.863979+00:00;172.16.2.151;255.255.252.0;192.168.100.245;255.255.255.0;21;permit
2021-06-12 03:30:34.864983+00:00;192.168.100.68;255.255.255.0;10.0.1.13;255.255.254.0;22,443,21;permit
2021-07-22 19:41:34.865986+00:00;172.16.2.0;255.255.252.0;192.168.100.137;255.255.255.0;443;permit
2022-03-30 22:44:34.866981+00:00;192.168.100.192;255.255.255.0;172.16.2.9;255.255.252.0;80;forbid
2021-04-29 23:21:34.867986+00:00;172.16.0.23;255.255.252.0;192.168.100.13;255.255.255.0;443,80,22;permit
2021-02-27 13:31:34.869104+00:00;192.168.100.111;255.255.255.0;172.16.3.156;255.255.252.0;80,443,21,22;forbid
2022-10-27 17:27:34.870629+00:00;172.16.2.231;255.255.252.0;10.0.0.243;255.255.254.0;443,21,22,3389;permit
2022-10-29 13:37:34.872681+00:00;10.0.0.51;255.255.254.0;172.16.1.100;255.255.252.0;3389;permit
2021-03-20 05:51:34.873664+00:00;10.0.0.194;255.255.254.0;172.16.1.251;255.255.252.0;22;forbid
2022-08-23 18:56:34.874835+00:00;192.168.100.252;255.255.255.0;10.0.0.87;255.255.254.0;443,80,21,22;permit
2020-12-26 07:13:34.875837+00:00;172.16.2.191;255.255.252.0;192.168.100.92;255.255.255.0;3389,443,80;forbid
2020-12-01 15:40:34.876834+00:00;192.168.100.135;255.255.255.0;172.16.1.202;255.255.252.0;21,22;permit
2022-10-29 22:08:34.877839+00:00;10.0.0.197;255.255.254.0;192.168.100.89;255.255.255.0;443;permit
2021-08-14 11:50:34.878852+00:00;192.168.100.206;255.255.255.0;172.16.2.4;255.255.252.0;22,80,21,3389;forbid
2022-10-30 19:11:34.879970+00:00;192.168.100.14;255.255.255.0;172.16.3.76;255.255.252.0;80,443,22;permit
2022-10-25 04:12:34.881777+00:00;10.0.1.22;255.255.254.0;172.16.2.13;255.255.252.0;443,21,3389,80;permit
2022-10-25 21:41:34.882778+00:00;10.0.0.35;255.255.254.0;172.16.3.37;255.255.252.0;443,80;forbid
2021-05-03 14:09:34.884675+00:00;172.16.3.81;255.255.252.0;10.0.0.75;255.255.254.0;22,3389;forbid
